LA SIERRA MADRE DE CHIAPAS.,"WAIBEL, LEO",F1215.CH5.V3.EJ.3
UN RECONOCIMIENTO DE LA SIERRA,,
MADRE DE CHIAPAS.,NAVARRRETE CARLOS,F1215.CH5.W4
FOLLOWING FOOTSTEPS STEPHENS,"ENNIS, CHUKS",F1215.E5 –
"FREDERICK CATHERWOOD,ARCH","HAGEN, VICTOR W. VON",F1215.H3.2 -
SEARCH FOR THE MAYA,"HAGEN, VICTOR W. VON",F1215.H3.3.3
"HANTA YO, AN AMERICAN SAGE.","HILL, RUTH  BEEBE",F1215.H5-
MORNINGS IN MEXICO ETRUSCAN PLACE.,LAWRENCE D.H.,F1215..L4-
FLUG INS LAND DER MAYA,MIELCHE HAKON,F1215.M5
ANZA AND THE NORTHWEST,,
FRONTIER OF NEW APAIN.,"BOWMAN, J.N.",F1215.M6.B6 -
THE MAYA DIEGO DE LANDA´S,,
ACCOUNT OF THE AFFAIRS OF YUCATAN.,"DE LANDA S, DIEGO",F1215.Y8.D5 -
THE TEMPLE OF THE WARRIORS,"MORRIS, EARL H.",F1215.Y8.M6-
UNA NUEVA RELACION: QUE CONTIENE:,,
LOS VIAJES DE TOMAS GAGE EN LA NVA.,,
ESPAÑA,AGUILAR SINFOROSO,F1216.A4
MEXICO,ARNASON,F1216.A7
PRIMERA EXPLORACION -BIOLOGIA EN,BASSOLS,
LA PENINSULA DE BAJA CALIFORNIA,BATALLA/GUZMAN,F1216.B3 -
SEGUNDA EXPLORACION -BIOLOGICA,,
EN LA PENINSULA DE BAJA CALIFORNIA,BASOLLS BATTALA,F1216.B3.1 -
LE MEXIQUE,BERRIER,F1216.B4 -
VIAJE ISTMO TEHUANTEPEC 1859-1860,BRASSEUR,F1216.B7 EJ. 2-
PATH OF THE CONQUISTADORES:,,
TRINIDAD AND VENEZUELAN GUIANA.,"BATES, LINDON JR.",F1216.B20
DE GRAN CAIRO A GRIJALVA,"CARILLO, JOSE",F1216.C3 –
ALL THE BEST IN MEXICO.,CLARK SYDNEY,F1216.C5
TRATADO GRANDEZAS NUEVA,"CUIDAD REAL,",
ESPAÑA,ANTONIO DE LA,F1216.C5 -
TRATADO CURIOSO Y DOCTO DE LAS,"CIUDAD REAL,",
GRANDEZAS DE LA NUEVA ESPAÑA. I,ANTONIO DE LA,F1216.C5.1 V.I -
TRATADO CURIOSO Y DOCTO DE LAS,"CIUDAD REAL,",
GRANDEZAS DE LA NUEVA ESPAÑA. II.,ANTONIO DE LA,F1216.C5.1 V.2-
TRATADO CURIOSO Y DOCTO DE LAS,"CIUDAD REAL,",
GRANDEZAS DE LA NUEVA ESPAÑA. I,ANTONIO DE LA,F1216.C5.1 V.I.EJ1
TRATADO CURIOSO Y DOCTO DE LAS,"CIUDAD REAL,",
GRANDEZAS DE LA NUEVA ESPAÑA. II.,ANTONIO DE LA,F1216.C5.1 V.2.EJ1
TRATADO CURIOSO Y DOCTO DE LAS,"CIUDAD REAL,",
GRANDEZAS DE LA NUEVA ESPAÑA. I,ANTONIO DE LA,F1216.C5.1 V.I – EJ2
LOS HISTORIADORES DEL MEXICO,,
ANTIGUO EN EL VIRREINATO DE LA,,
"NUEVA ESPAÑA.                                              ARNAIZ ARTURO, FREG                                  F1216.C9 GENERAL ARCHIVES OF THE INDIES,",,
"1582 ,",CUEVA,F1216.C10
VILLAGE IN THE SUN,"CHANDOS, DANE",F1216.CH3 -
THE HEART OF THE SKY,"CANBY, PETER",F1216.CH.C10
SECRET OF THE FOREST,"CORDAN, WOLFGANG",F1216.CH.C10
PAYS MAYA:MEXIQUE-GUATEMALA,"DREUX, DANIEL",F1216.D7 -
PANORAMAS MEXICAINS,"DROIT,MICHEL",F1216.D7.1-
¡VIVA MEXICO! EENKRONIEK QUERIDO,"DULLEMEN, INES VAN",F1216.D8 -
KAERLIGHEDENS KAKTUS,"ESKELUND, KARL",F1216.E8 –
RINCONES Y PAISAJES DE MEXICO,"GARCIA, RUBEN",F1216.G3 -
"A NEW SURVEY OF THE WEST INDIES, 1648","GAGE, TOMAS",F1216.G3.1-
LOS VIAJES DE TOMAS GAGE EN LA,,
